0;19/10/2010;Transfer;10000;
1;20/10/2010;Transfer;20000;
0;21/10/2010;Transfer;30000;
1;22/10/2010;Transfer;40000;
0;23/10/2010;Transfer;50000;
1;24/10/2010;Transfer;60000;
0;25/10/2010;Transfer;70000;
1;26/10/2010;Transfer;80000;
0;19/10/2010;Transfer;10000;
1;20/10/2010;Transfer;20000;
0;21/10/2010;Transfer;30000;
1;22/10/2010;Transfer;40000;
0;23/10/2010;Transfer;50000;
1;24/10/2010;Transfer;60000;
0;25/10/2010;Transfer;70000;
1;26/10/2010;Transfer;80000;
0;19/10/2010;Transfer;10000;
1;20/10/2010;Transfer;20000;
0;21/10/2010;Transfer;30000;
1;22/10/2010;Transfer;40000;
0;23/10/2010;Transfer;50000;
1;24/10/2010;Transfer;60000;
0;25/10/2010;Transfer;70000;
1;26/10/2010;Transfer;80000;
